pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
children_u5,amenity_restaurant,drive,300s,2938.090246,14933.793251000003,9713.43806,9831.003923999995,15457.281336,18072.950447,8118.555101,19322.825327,15843.517295,14063.852289,11294.921012999997
women_rep,amenity_restaurant,drive,300s,11858.982602,64691.73546900001,39460.737773999994,45260.862764000005,85744.96638900001,115872.32640399999,39014.397489999996,105719.902057,105126.41664800001,70550.70147900001,52573.287867
elderly,amenity_restaurant,drive,300s,1689.2989580000003,7630.860131000001,5165.357069,5025.703236000002,14770.604477,20325.983000999997,5782.212373,18636.870923000002,18833.658921,12037.798502999998,6709.887113
total,amenity_restaurant,drive,600s,107393.033693,332416.853609,369281.85797000007,155030.17228399997,309738.5818909999,330772.40487499995,192953.36094600003,513366.227161,314904.803056,381927.41961599997,293522.597697
men,amenity_restaurant,drive,600s,52547.337322,156661.723935,178271.03167,72863.239922,147458.252699,154751.531116,89970.312803,250345.06703600002,147670.976983,184527.30161200004,137481.59623399997
women,amenity_restaurant,drive,600s,54845.69637100001,175755.129674,191010.826321,82166.93236199999,162280.32923,176020.873759,102983.048143,263021.16488000005,167233.82608,197400.118028,156041.00146300002
youth,amenity_restaurant,drive,600s,29614.167321,94342.071333,104243.3539,45524.30613600001,90607.803698,96252.735439,53855.25168599999,157596.84858499997,92907.407719,110032.299912,84321.34521300001
children_u5,amenity_restaurant,drive,600s,8658.882568,26967.998789,31718.023553,12196.292185999995,19084.526501,18628.870387,14390.468893,32532.714228999997,16997.541009,26448.085615,22684.968860999994
women_rep,amenity_restaurant,drive,600s,34958.749103999995,116712.51274700002,122792.51515300001,56145.93824600002,106851.72328199999,119410.5297,68575.587386,171088.54252699998,112794.083905,129957.00178400002,105454.89276300001
elderly,amenity_restaurant,drive,600s,4977.8391440000005,13741.604913,14980.587912000003,6234.8357940000005,18662.041942,20942.416323999994,10112.950115,29269.933353000004,20206.966228999998,21819.278381,13255.273711
total,amenity_restaurant,drive,900s,188522.36867700002,395279.54109199997,483610.03345600003,185374.47500099998,309738.5818909999,330772.40487499995,271482.39738199994,533133.321151,314904.803056,436562.31062099995,353483.738087
men,amenity_restaurant,drive,900s,92248.334994,186298.12858099997,233480.493795,87125.79010299998,147458.252699,154751.531116,126575.39318500001,259916.110039,147670.976983,210943.01560000004,165617.31654899998
women,amenity_restaurant,drive,900s,96274.033683,208981.412511,250129.53968200003,98248.68489799999,162280.32923,176020.873759,144907.00419700003,273217.21586700005,167233.82608,225619.29504500004,187866.421538
youth,amenity_restaurant,drive,900s,51981.273696,112176.38850899998,136221.25207,54434.49611999999,90607.803698,96252.735439,75710.65309799998,163114.35062399998,92907.407719,125683.76514299998,101749.005195
children_u5,amenity_restaurant,drive,900s,15201.774824,32064.253053000008,42200.459259999996,14583.455964999996,19084.526501,18628.870387,20307.830048999997,34371.135093000004,16997.541009,30447.365173000002,27362.719883
