,index,pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
118,118,elderly,amenity_restaurant,drive,600,39.32131872485963,79.83385901892235,69.2985551177011,67.28602043926561,100.0,99.99999999999997,59.46547419472057,96.07967209530268,100.00000000000003,86.8965049138027,64.91756524408974
125,125,elderly,amenity_restaurant,drive,900,69.03793201811789,94.96598442345956,88.04610134863874,80.45868343765349,100.0,99.99999999999997,83.51764343718705,98.33636741647425,100.00000000000003,98.55150592403548,77.41283447666004
132,132,elderly,shop_wine,drive,300,,,,0.6791768937798041,,7.260542658859618,,,,,
139,139,elderly,shop_wine,drive,600,,,,12.33744473163644,,36.54001103125048,0.009174998144398155,,,,
146,146,elderly,shop_wine,drive,900,,1.9150505221708685,,24.542480653028615,0.07015368436470744,75.58596619941784,3.1600408455509794,,0.051463252237615255,,
153,153,elderly,healthy_offers,drive,300,5.384800773786661,19.515506481123438,7.390242803425667,48.04194242860614,28.185463789801613,48.6719741709973,37.80487452342666,23.72246095052979,34.14793839313245,16.519731140847423,14.384715840343713
160,160,elderly,healthy_offers,drive,600,19.905293216567323,49.253359041575834,32.81960702236302,67.54981444353561,86.97522293887042,93.83604056939386,64.61783189517077,62.72801735749805,99.56734191065986,62.45183372136391,38.00403713262182
167,167,elderly,healthy_offers,drive,900,37.01658915364357,79.8431713584759,72.42455657392827,80.23355658190458,99.84712857741577,99.99999999999997,78.94103380360585,94.93103317255276,100.00000000000003,91.37710542463363,60.563761527044534
174,174,elderly,amenity_pub,drive,300,1.1178592371331593,13.666496112561962,,16.146889179028527,0.8908224754647803,31.901824348432818,10.501759387667702,0.6056787494750171,23.884364853708394,,10.154715126412656
181,181,elderly,amenity_pub,drive,600,5.074426778057866,44.444008962422956,,37.720968810116176,32.607330531740594,88.20730386698621,23.953195684401983,18.644192706643917,86.12425618361239,5.243707867758149,32.159496966014906
188,188,elderly,amenity_pub,drive,900,9.413490090736234,75.38867971610857,0.26181093056671073,61.64941260247894,71.82964503917202,99.99999999999997,34.33310817381642,54.66587944088975,100.00000000000003,37.02284584573126,55.11520750064726
195,195,elderly,amenity_drinking_water,drive,300,,6.570688298028407,0.32806524787402935,1.7568790723394936,,,,,,,
202,202,elderly,amenity_drinking_water,drive,600,,25.813341475720968,2.5056009479665855,15.065378371115651,0.06345334576357153,,,,,,
209,209,elderly,amenity_drinking_water,drive,900,,55.54536521841441,11.686438074809496,44.0398504842673,2.7695519150923578,6.68404221052482,,,,,
216,216,elderly,amenity_bar,drive,300,11.7691609468856,24.29945297715395,8.743938420977235,40.87610456127459,34.502108756433095,83.61984984479196,38.64405169497695,37.531128093195605,73.53921203012469,33.57935705466835,14.034809709691991
223,223,elderly,amenity_bar,drive,600,40.162556310998575,78.8847810091588,37.03077480017239,64.99399899514968,80.98808240262822,99.97499407938902,81.13827642614676,96.22043874341135,100.00000000000003,82.31721407677962,41.765009366042136
230,230,elderly,amenity_bar,drive,900,58.48770246004526,97.5997033681237,77.17329135676698,76.5588372096526,98.96608371902886,99.99999999999997,92.93523681668724,98.07892550787294,100.00000000000003,95.85574959229082,63.95275935063969
237,237,elderly,shop_bakery,drive,300,17.148217455015008,59.87214636565953,45.141428216232306,49.11222717215901,75.67828568756518,85.82697374515246,41.38445103945149,82.22628700800007,68.33352643101504,52.81634228261729,24.114674465077673
244,244,elderly,shop_bakery,drive,600,42.47650194228915,91.71762045723946,84.44044110879148,79.71585887521712,97.99589017020546,99.99999999999997,82.37202228372318,94.91028148846132,100.00000000000003,87.29660917629869,64.75588490452908
251,251,elderly,shop_bakery,drive,900,51.582346115002466,98.89457479755612,96.40921740487694,87.60968643497145,100.0,99.99999999999997,91.74849080130416,97.7432678684459,100.00000000000003,97.76986612760246,82.16815527462316
