shapeID,shapeName,class_-3_months_SPEI3,class_-2_months_SPEI3,class_-1_months_SPEI3,class_0_months_SPEI3,class_1_months_SPEI3,class_2_months_SPEI3,class_3_months_SPEI3,class_-3_months_SPEI6,class_-2_months_SPEI6,class_-1_months_SPEI6,class_0_months_SPEI6,class_1_months_SPEI6,class_2_months_SPEI6,class_3_months_SPEI6,class_-3_months_SPEI12,class_-2_months_SPEI12,class_-1_months_SPEI12,class_0_months_SPEI12,class_1_months_SPEI12,class_2_months_SPEI12,class_3_months_SPEI12,drought_resistance,ag_area_ha,geometry
10109009,Phường Đống Đa,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3174686082717138,0.0,"POLYGON ((105.8137366998426 21.013045516610852, 105.81877550493417 21.013834782249546, 105.81724154378519 21.01728163089452, 105.82286451761071 21.015123484694893, 105.83004366459839 21.018833425039183, 105.83432885336993 21.0145883811782, 105.8298653001192 21.00913045833225, 105.83146610732493 21.006677919823005, 105.82727451038467 21.00469362211893, 105.8209426363797 21.009072457851346, 105.82091585165423 21.00409606967303, 105.8171301072442 21.00416740816859, 105.8137366998426 21.013045516610852))"
10109010,Phường Kim Liên,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2750897216935086,0.0,"POLYGON ((105.8171301072442 21.00416740816859, 105.82091585165423 21.00409606967303, 105.8209426363797 21.009072457851346, 105.82850969982023 21.004769396145022, 105.83296883072771 21.012804721662825, 105.83361538000212 21.009656615230586, 105.84161057725515 21.007761442655713, 105.8425335459668 20.997385153582087, 105.81807982815332 21.001674777839234, 105.8171301072442 21.00416740816859))"
10109011,Phường Văn Miếu - Quốc Tử Giám,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.285777927729276,0.0,"POLYGON ((105.83004366459839 21.018833425039183, 105.8334414914417 21.021312669401812, 105.8325897892436 21.02347532691385, 105.83566657852424 21.023354927980073, 105.83609911052432 21.03050733760148, 105.84249788858128 21.02864794072026, 105.84161057725515 21.007761442655713, 105.83361538000212 21.009656615230586, 105.83432885336993 21.0145883811782, 105.83004366459839 21.018833425039183))"
10109012,Phường Láng,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3096535322422397,0.0,"POLYGON ((105.79799160963863 21.02456785013807, 105.80125565551604 21.029936577364012, 105.81180595565334 21.024808640217227, 105.81091852237192 21.018757607121408, 105.81877550493417 21.013834782249546, 105.81730398051528 21.012189326213996, 105.81466418799641 21.014182561768873, 105.81354939330848 21.008867364737487, 105.79799160963863 21.02456785013807))"
10109013,Phường Ô Chợ Dừa,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2479692226280588,0.0,"POLYGON ((105.81724154378519 21.01728163089452, 105.81979215087095 21.02347978113832, 105.82998570284387 21.031483887046914, 105.83609911052432 21.03050733760148, 105.83566657852424 21.023354927980073, 105.8325897892436 21.02347532691385, 105.8334414914417 21.021312669401812, 105.82573617890489 21.014882677125534, 105.81724154378519 21.01728163089452))"
10111022,Phường Thanh Xuân,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2801118593584779,0.0,"POLYGON ((105.78937661875818 20.99831712830871, 105.80607152953037 21.007774855697665, 105.81360734992465 21.008827205076603, 105.81543563522806 21.00711489473776, 105.81155621625189 21.003605573996026, 105.81416479139835 20.998883408037003, 105.8078239601749 20.994633855217195, 105.81011144280876 20.99012571568634, 105.80220995264985 20.990718772468487, 105.79830376103055 20.988252903589245, 105.79545438029103 20.991302970155132, 105.79638186627092 20.995026266363606, 105.78937661875818 20.99831712830871))"
10111023,Phường Khương Đình,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3019261401585735,0.0,"POLYGON ((105.80118435661822 20.98680368184155, 105.80342723952417 20.990625127277283, 105.80783730679542 20.988649762644968, 105.81091852237192 20.99101753614197, 105.8078239601749 20.994633855217195, 105.81416479139835 20.998883408037003, 105.81155621625189 21.003605573996026, 105.81543563522806 21.00711489473776, 105.81807982815332 21.001674777839234, 105.8246837568253 21.0018353120087, 105.82224470112118 20.999012756553576, 105.82840712538409 20.995316081702953, 105.81839201345664 20.980520782934846, 105.81564515913831 20.98271022954714, 105.80917063074384 20.981087087941727, 105.80867115939697 20.98400340334783, 105.80118435661822 20.98680368184155))"
10111024,Phường Phương Liệt,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2779972900274094,0.0,"POLYGON ((105.82224470112118 20.999012756553576, 105.8226014156077 21.001590096666757, 105.8425335459668 20.997385153582087, 105.84113341622412 20.985189538732204, 105.83464984561257 20.982879724627164, 105.83496644859692 20.986491569714982, 105.82566926016544 20.99887002884357, 105.82224470112118 20.999012756553576))"
10113025,Phường Cầu Giấy,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.23360697909552,0.0,"POLYGON ((105.77982074126162 21.032612061602016, 105.78138143919297 21.044598096136415, 105.79740743562259 21.041664052684794, 105.79750112547802 21.037499252642174, 105.79507980446695 21.03679915562911, 105.79844196768143 21.033004419496297, 105.79719793239154 21.030574187925236, 105.7937421038546 21.026253360758563, 105.78416396734498 21.026266778031577, 105.77982074126162 21.032612061602016))"
10113026,Phường Nghĩa Đô,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.284598459473642,0.0,"POLYGON ((105.78656293300766 21.043523499718955, 105.78660753606832 21.046011640358355, 105.79048696838446 21.04603394048731, 105.78697761645321 21.051411585953833, 105.78886385569581 21.053003543478404, 105.7916373610703 21.046038373349845, 105.79484791177848 21.04603392621308, 105.7947543128505 21.050573339144265, 105.79820568184493 21.04717101945792, 105.80427898680871 21.051416038965577, 105.80908589250139 21.059848235235172, 105.80623204589523 21.036803598921086, 105.80019889407956 21.028723688587412, 105.79543655612578 21.034756846170275, 105.79740743562259 21.041664052684794, 105.78656293300766 21.043523499718955))"
